Serial Feed Started
Time Setpoint Input Output
1 90.00 18.00 2000.00
2 90.00 18.00 2000.00
3 90.00 18.00 2000.00
4 90.00 18.00 2000.00
5 90.00 18.00 2000.00
6 90.00 18.00 2000.00
7 90.00 18.00 2000.00
8 90.00 18.00 2000.00
9 90.00 18.00 2000.00
10 90.00 18.00 2000.00
11 90.00 18.00 2000.00
12 90.00 18.00 2000.00
13 90.00 18.00 2000.00
14 90.00 18.00 2000.00
15 90.00 18.00 2000.00
16 90.00 18.00 2000.00
17 90.00 18.25 2000.00
18 90.00 18.25 2000.00
19 90.00 18.25 2000.00
20 90.00 18.25 2000.00
21 90.00 18.50 2000.00
22 90.00 18.50 2000.00
23 90.00 18.50 2000.00
24 90.00 18.75 2000.00
25 90.00 18.75 2000.00
26 90.00 19.00 2000.00
27 90.00 19.00 2000.00
28 90.00 19.00 2000.00
29 90.00 19.25 2000.00
30 90.00 19.25 2000.00
31 90.00 19.50 2000.00
32 90.00 19.75 2000.00
33 90.00 20.00 2000.00
34 90.00 20.25 2000.00
35 90.00 20.25 2000.00
36 90.00 20.50 2000.00
37 90.00 20.75 2000.00
38 90.00 20.75 2000.00
39 90.00 21.25 2000.00
40 90.00 21.50 2000.00
41 90.00 21.75 2000.00
42 90.00 22.00 2000.00
43 90.00 22.25 2000.00
44 90.00 22.50 2000.00
45 90.00 22.75 2000.00
46 90.00 23.00 2000.00
47 90.00 23.50 2000.00
48 90.00 23.75 2000.00
49 90.00 24.00 2000.00
50 90.00 24.50 2000.00
51 90.00 24.75 2000.00
52 90.00 25.00 2000.00
53 90.00 25.50 2000.00
54 90.00 25.75 2000.00
55 90.00 26.00 2000.00
56 90.00 26.50 2000.00
57 90.00 27.00 2000.00
58 90.00 27.25 2000.00
59 90.00 28.00 2000.00
60 90.00 28.25 2000.00
61 90.00 28.50 2000.00
62 90.00 29.00 2000.00
63 90.00 29.50 2000.00
64 90.00 30.00 2000.00
65 90.00 30.50 2000.00
66 90.00 31.00 2000.00
67 90.00 31.50 2000.00
68 90.00 32.00 2000.00
69 90.00 32.50 2000.00
70 90.00 33.00 2000.00
71 90.00 33.50 2000.00
72 90.00 34.00 2000.00
73 90.00 34.50 2000.00
74 90.00 35.00 2000.00
75 90.00 35.50 2000.00
76 90.00 36.25 2000.00
77 90.00 36.50 2000.00
78 90.00 37.25 2000.00
79 90.00 38.00 2000.00
80 90.00 38.50 2000.00
81 90.00 39.00 2000.00
82 90.00 39.50 2000.00
83 90.00 40.25 2000.00
84 90.00 40.75 2000.00
85 90.00 41.25 2000.00
86 90.00 42.00 2000.00
87 90.00 42.75 2000.00
88 90.00 43.25 2000.00
89 90.00 43.75 2000.00
90 90.00 44.50 2000.00
91 90.00 45.00 2000.00
92 90.00 45.75 2000.00
93 90.00 46.50 2000.00
94 90.00 47.25 2000.00
95 90.00 47.75 2000.00
96 90.00 48.25 2000.00
97 90.00 49.00 2000.00
98 90.00 49.75 2000.00
99 90.00 50.25 2000.00
100 90.00 51.00 2000.00
101 90.00 51.75 2000.00
102 90.00 52.50 2000.00
103 90.00 53.25 2000.00
104 90.00 53.75 2000.00
105 90.00 54.50 2000.00
106 90.00 55.25 2000.00
107 90.00 56.00 2000.00
108 90.00 56.75 2000.00
109 90.00 57.50 2000.00
110 90.00 58.25 2000.00
111 90.00 59.00 2000.00
112 90.00 59.75 2000.00
113 90.00 60.50 2000.00
114 90.00 61.25 2000.00
115 90.00 61.75 2000.00
116 90.00 62.75 2000.00
117 90.00 63.50 2000.00
118 90.00 64.25 2000.00
119 90.00 65.00 2000.00
120 90.00 65.75 2000.00
121 90.00 66.50 2000.00
122 90.00 67.25 2000.00
123 90.00 68.00 2000.00
124 90.00 68.75 2000.00
125 90.00 69.50 2000.00
126 90.00 70.25 2000.00
127 90.00 71.25 2000.00
128 90.00 71.75 2000.00
129 90.00 72.75 2000.00
130 90.00 73.50 2000.00
131 90.00 74.25 2000.00
132 90.00 75.00 2000.00
133 90.00 75.75 2000.00
134 90.00 76.50 2000.00
135 90.00 77.50 2000.00
136 90.00 78.25 2000.00
137 90.00 79.00 2000.00
138 90.00 79.75 2000.00
139 90.00 80.50 1958.54
140 90.00 81.50 1827.52
141 90.00 82.25 1647.74
142 90.00 83.00 1521.68
143 90.00 83.75 1390.61
144 90.00 84.75 1259.51
145 90.00 85.25 1079.64
146 90.00 86.25 1002.26
147 90.00 86.75 817.36
148 90.00 87.75 739.94
149 90.00 88.25 554.99
150 90.00 89.00 477.54
151 90.00 89.75 341.31
152 90.00 90.25 210.07
153 95.00 91.00 1481.56
154 95.00 91.75 1194.26
155 95.00 92.25 969.42
156 95.00 93.00 882.06
157 95.00 93.75 594.66
158 95.00 94.25 369.72
159 95.00 95.00 282.26
160 95.00 95.50 0.00
161 95.00 96.25 0.00
162 100.00 96.75 1119.92
163 100.00 97.25 1032.58
164 100.00 98.00 882.72
165 100.00 98.50 595.32
166 100.00 99.00 507.89
167 100.00 99.75 357.94
168 100.00 100.25 70.46
169 100.00 100.75 0.00
170 100.00 101.25 0.00
171 105.00 101.75 1183.09
172 105.00 102.25 1033.26
173 105.00 102.75 883.39
174 105.00 103.50 733.51
175 105.00 103.75 446.08
176 105.00 104.50 496.14
177 105.00 105.00 146.17
178 105.00 105.25 58.67
179 105.00 105.75 46.16
180 110.00 106.25 1333.87
181 110.00 106.75 1184.06
182 110.00 107.25 1034.22
183 110.00 107.75 884.36
184 110.00 108.25 734.47
185 110.00 108.75 584.56
186 110.00 109.00 434.62
187 110.00 109.50 422.17
188 110.00 110.00 209.69
