Serial Feed Started
Time Setpoint Input Output
1 90.00 14.50 2000.00
2 90.00 14.75 2000.00
3 90.00 14.50 2000.00
4 90.00 14.50 2000.00
5 90.00 14.50 2000.00
6 90.00 14.50 2000.00
7 90.00 14.50 2000.00
8 90.00 14.75 2000.00
9 90.00 14.75 2000.00
10 90.00 14.75 2000.00
11 90.00 14.75 2000.00
12 90.00 14.75 2000.00
13 90.00 14.75 2000.00
14 90.00 14.75 2000.00
15 90.00 15.00 2000.00
16 90.00 15.00 2000.00
17 90.00 15.00 2000.00
18 90.00 15.25 2000.00
19 90.00 15.25 2000.00
20 90.00 15.50 2000.00
21 90.00 15.50 2000.00
22 90.00 15.75 2000.00
23 90.00 16.00 2000.00
24 90.00 16.00 2000.00
25 90.00 16.25 2000.00
26 90.00 16.50 2000.00
27 90.00 16.75 2000.00
28 90.00 17.00 2000.00
29 90.00 17.00 2000.00
30 90.00 17.25 2000.00
31 90.00 17.75 2000.00
32 90.00 17.75 2000.00
33 90.00 18.00 2000.00
34 90.00 18.50 2000.00
35 90.00 18.75 2000.00
36 90.00 19.00 2000.00
37 90.00 19.25 2000.00
38 90.00 19.75 2000.00
39 90.00 20.00 2000.00
40 90.00 20.25 2000.00
41 90.00 20.75 2000.00
42 90.00 21.00 2000.00
43 90.00 21.50 2000.00
44 90.00 21.75 2000.00
45 90.00 22.25 2000.00
46 90.00 22.50 2000.00
47 90.00 23.00 2000.00
48 90.00 23.25 2000.00
49 90.00 23.75 2000.00
50 90.00 24.25 2000.00
51 90.00 24.75 2000.00
52 90.00 25.25 2000.00
53 90.00 25.75 2000.00
54 90.00 26.25 2000.00
55 90.00 26.50 2000.00
56 90.00 27.00 2000.00
57 90.00 27.50 2000.00
58 90.00 28.25 2000.00
59 90.00 28.50 2000.00
60 90.00 29.25 2000.00
61 90.00 29.75 2000.00
62 90.00 30.25 2000.00
63 90.00 30.75 2000.00
64 90.00 31.25 2000.00
65 90.00 31.75 2000.00
66 90.00 32.25 2000.00
67 90.00 33.00 2000.00
68 90.00 33.50 2000.00
69 90.00 34.00 2000.00
70 90.00 34.75 2000.00
71 90.00 35.25 2000.00
72 90.00 36.00 2000.00
73 90.00 36.50 2000.00
74 90.00 37.00 2000.00
75 90.00 37.75 2000.00
76 90.00 38.25 2000.00
77 90.00 39.00 2000.00
78 90.00 39.50 2000.00
79 90.00 40.25 2000.00
80 90.00 40.75 2000.00
81 90.00 41.50 2000.00
82 90.00 42.25 2000.00
83 90.00 42.75 2000.00
84 90.00 43.50 2000.00
85 90.00 44.25 2000.00
86 90.00 45.00 2000.00
87 90.00 45.50 2000.00
88 90.00 46.25 2000.00
89 90.00 47.00 2000.00
90 90.00 47.75 2000.00
91 90.00 48.50 2000.00
92 90.00 49.25 2000.00
93 90.00 49.75 2000.00
94 90.00 50.50 2000.00
95 90.00 51.25 2000.00
96 90.00 52.00 2000.00
97 90.00 52.75 2000.00
98 90.00 53.50 2000.00
99 90.00 54.25 2000.00
100 90.00 55.00 2000.00
101 90.00 55.75 2000.00
102 90.00 56.50 2000.00
103 90.00 57.25 2000.00
104 90.00 58.00 2000.00
105 90.00 58.75 2000.00
106 90.00 59.50 2000.00
107 90.00 60.25 2000.00
108 90.00 61.00 2000.00
109 90.00 62.00 2000.00
110 90.00 62.75 2000.00
111 90.00 63.50 2000.00
112 90.00 64.25 2000.00
113 90.00 65.00 2000.00
114 90.00 65.75 2000.00
115 90.00 66.50 2000.00
116 90.00 67.50 2000.00
117 90.00 68.25 2000.00
118 90.00 69.00 2000.00
119 90.00 69.75 2000.00
120 90.00 70.50 2000.00
121 90.00 71.50 2000.00
122 90.00 72.25 2000.00
123 90.00 73.00 2000.00
124 90.00 74.00 2000.00
125 90.00 74.75 2000.00
126 90.00 75.50 2000.00
127 90.00 76.50 2000.00
128 90.00 77.25 2000.00
129 90.00 78.00 2000.00
130 90.00 78.75 2000.00
131 90.00 79.75 2000.00
132 90.00 80.50 1947.91
133 90.00 81.25 1821.90
134 90.00 82.00 1690.87
135 90.00 83.00 1559.82
136 90.00 83.75 1379.99
137 90.00 84.50 1253.90
138 90.00 85.25 1122.79
139 90.00 86.00 991.66
140 90.00 86.75 860.51
141 90.00 87.50 729.34
142 90.00 88.25 598.15
143 90.00 89.00 466.94
144 90.00 89.75 335.72
145 90.00 90.25 204.48
146 95.00 91.00 1475.96
147 95.00 91.50 1188.66
148 95.00 92.25 1101.34
149 95.00 92.75 813.97
150 95.00 93.50 726.59
151 95.00 94.00 439.16
152 95.00 94.75 351.71
153 95.00 95.25 64.23
154 95.00 96.00 0.00
155 100.00 96.50 1189.41
156 100.00 97.00 1102.09
157 100.00 97.50 952.24
158 100.00 98.25 802.36
159 100.00 98.75 514.95
160 100.00 99.50 427.51
161 100.00 100.00 140.04
162 100.00 100.50 52.54
163 100.00 101.00 0.00
164 105.00 101.50 1252.71
165 105.00 102.00 1102.89
166 105.00 102.75 953.04
167 105.00 103.25 665.65
168 105.00 103.75 578.24
169 105.00 104.25 428.30
170 105.00 104.75 278.34
171 105.00 105.25 128.35
172 105.00 105.75 0.00
173 110.00 106.25 1328.55
174 110.00 106.75 1178.74
175 110.00 107.00 1028.90
176 110.00 107.75 1016.55
177 110.00 108.00 666.66
178 110.00 108.75 716.76
179 110.00 109.00 366.83
180 110.00 109.50 416.88
181 110.00 110.00 204.40
182 115.00 110.50 1554.65
183 115.00 111.00 1404.88
184 115.00 111.25 1255.07
185 115.00 112.00 1242.76
186 115.00 112.25 892.91
187 115.00 112.75 943.05
188 115.00 113.25 730.66
189 115.00 113.75 580.75
190 115.00 114.25 430.81
191 120.00 114.75 1781.10
192 120.00 115.00 1631.36
193 120.00 115.50 1619.11
194 120.00 116.00 1406.84
195 120.00 116.50 1257.04
196 120.00 117.00 1107.21
197 120.00 117.50 957.36
198 120.00 117.75 807.49
199 120.00 118.25 795.10
200 125.00 118.75 2000.00
201 125.00 119.25 1933.25
202 125.00 119.75 1783.54
203 125.00 120.25 1633.80
204 125.00 120.75 1484.04
205 125.00 121.25 1334.25
206 125.00 121.75 1184.44
207 125.00 122.25 1034.60
208 125.00 122.75 884.74
209 130.00 123.00 2000.00
210 130.00 123.50 2000.00
211 130.00 124.00 2000.00
212 130.00 124.50 1861.07
213 130.00 125.00 1711.35
214 130.00 125.50 1561.60
215 130.00 126.00 1411.82
216 130.00 126.50 1262.03
217 130.00 127.00 1112.20
218 135.00 127.50 2000.00
219 135.00 128.00 2000.00
220 135.00 128.50 2000.00
221 135.00 129.00 2000.00
222 135.00 129.50 1863.95
223 135.00 130.00 1714.22
224 135.00 130.50 1564.47
225 135.00 131.25 1414.70
226 135.00 131.75 1127.39
227 140.00 132.25 2000.00
228 140.00 132.75 2000.00
229 140.00 133.25 2000.00
230 140.00 133.75 2000.00
231 140.00 134.50 1941.70
232 140.00 135.00 1654.47
233 140.00 135.50 1567.22
234 140.00 136.00 1417.45
235 140.00 136.50 1267.65
236 165.00 137.00 2000.00
237 165.00 137.50 2000.00
238 165.00 138.25 2000.00
239 165.00 138.75 2000.00
240 165.00 139.25 2000.00
241 165.00 139.75 2000.00
242 165.00 140.50 2000.00
243 165.00 141.00 2000.00
244 165.00 141.75 2000.00
245 165.00 142.25 2000.00
246 165.00 142.75 2000.00
247 165.00 143.50 2000.00
248 165.00 144.00 2000.00
249 165.00 144.50 2000.00
250 165.00 145.25 2000.00
251 165.00 145.75 2000.00
252 165.00 146.50 2000.00
253 165.00 147.00 2000.00
254 165.00 147.75 2000.00
255 165.00 148.25 2000.00
256 165.00 148.75 2000.00
257 165.00 149.50 2000.00
258 165.00 150.25 2000.00
259 165.00 150.75 2000.00
260 165.00 151.25 2000.00
261 165.00 152.00 2000.00
262 165.00 152.50 2000.00
263 165.00 153.00 2000.00
264 165.00 153.75 2000.00
265 165.00 154.50 2000.00
266 165.00 155.00 2000.00
267 165.00 155.75 2000.00
268 165.00 156.25 2000.00
269 165.00 157.00 2000.00
270 165.00 157.75 2000.00
271 165.00 158.25 2000.00
272 165.00 159.00 2000.00
273 165.00 159.50 1763.50
274 165.00 160.25 1701.27
275 100.00 160.75 0.00
276 100.00 161.50 0.00
277 100.00 162.00 0.00
278 100.00 162.50 0.00
279 100.00 163.00 0.00
280 100.00 163.25 0.00
281 100.00 163.25 0.00
282 100.00 162.75 0.00
283 100.00 162.75 0.00
284 100.00 162.75 0.00
285 100.00 162.75 0.00
286 100.00 163.00 0.00
287 100.00 163.00 0.00
288 100.00 163.00 0.00
289 100.00 163.25 0.00
290 100.00 164.00 0.00
291 100.00 164.75 0.00
292 100.00 165.25 0.00
293 100.00 165.50 0.00
294 100.00 165.50 0.00
295 100.00 165.50 0.00
296 100.00 165.75 0.00
297 100.00 165.75 0.00
298 100.00 166.00 0.00
299 100.00 165.75 0.00
300 100.00 165.75 0.00
301 100.00 165.75 0.00
302 100.00 165.75 0.00
303 100.00 165.50 0.00
304 100.00 165.25 0.00
305 100.00 165.00 0.00
306 100.00 164.75 0.00
307 100.00 164.75 0.00
308 100.00 164.50 0.00
309 100.00 164.25 0.00
310 100.00 163.75 0.00
311 100.00 164.00 0.00
312 100.00 164.00 0.00
313 100.00 164.00 0.00
314 100.00 163.75 0.00
315 100.00 163.75 0.00
316 100.00 163.25 0.00
317 100.00 162.75 0.00
318 100.00 162.25 0.00
319 100.00 161.50 0.00
320 100.00 161.25 0.00
321 100.00 161.00 0.00
322 100.00 160.25 0.00
323 100.00 159.75 0.00
324 100.00 160.00 0.00
325 100.00 159.75 0.00
326 100.00 160.00 0.00
327 100.00 159.75 0.00
328 100.00 159.25 0.00
329 100.00 159.25 0.00
330 100.00 159.00 0.00
331 100.00 158.50 0.00
332 100.00 158.25 0.00
333 100.00 158.00 0.00
334 100.00 157.50 0.00
335 100.00 157.50 0.00
336 100.00 157.00 0.00
337 100.00 157.00 0.00
338 100.00 156.25 0.00
339 100.00 155.50 0.00
340 100.00 155.00 0.00
341 100.00 154.25 0.00
342 100.00 153.75 0.00
343 100.00 153.50 0.00
344 100.00 153.50 0.00
345 100.00 152.75 0.00
346 100.00 152.25 0.00
347 100.00 152.00 0.00
348 100.00 151.75 0.00
349 100.00 151.50 0.00
350 100.00 151.25 0.00
351 100.00 151.00 0.00
352 100.00 151.00 0.00
353 100.00 150.25 0.00
354 100.00 149.50 0.00
355 100.00 149.00 0.00
356 100.00 149.00 0.00
357 100.00 148.50 0.00
358 100.00 147.75 0.00
359 100.00 146.50 0.00
360 100.00 145.00 0.00
361 100.00 144.00 0.00
362 100.00 142.75 0.00
363 100.00 142.50 0.00
364 100.00 142.25 0.00
365 100.00 142.00 0.00
366 100.00 142.00 0.00
367 100.00 141.75 0.00
368 100.00 141.00 0.00
369 100.00 141.00 0.00
370 100.00 140.75 0.00
371 100.00 140.25 0.00
372 100.00 140.00 0.00
373 100.00 139.50 0.00
374 100.00 139.50 0.00
375 100.00 139.25 0.00
376 100.00 138.75 0.00
377 100.00 138.25 0.00
378 100.00 137.75 0.00
379 100.00 137.25 0.00
380 100.00 137.00 0.00
381 100.00 136.75 0.00
382 100.00 136.25 0.00
383 100.00 135.75 0.00
384 100.00 135.25 0.00
385 100.00 134.50 0.00
